genre_1,genre_2,release_year,count
Comedy,Music,1951,9
Comedy,Romance,1951,16
Drama,Music,1951,2
Drama,Romance,1951,17
Music,Romance,1951,10
Comedy,Music,1957,5
Comedy,Romance,1957,17
Music,Romance,1957,7
Comedy,Drama,1961,11
Comedy,Romance,1961,13
Drama,Romance,1961,24
Mystery,Romance,1958,1
Mystery,Thriller,1958,2
Romance,Thriller,1958,2
Drama,Mystery,1954,4
Drama,Thriller,1954,14
Mystery,Thriller,1954,5
Comedy,Romance,1934,15
Crime,Drama,1944,7
Crime,Mystery,1944,6
Crime,Thriller,1944,3
Drama,Mystery,1944,9
Drama,Thriller,1944,12
Mystery,Thriller,1944,12
Comedy,Music,1934,10
Music,Romance,1934,8
Mystery,Thriller,1959,12
Comedy,Drama,1960,14
Comedy,Romance,1960,15
Drama,Romance,1960,29
Comedy,Romance,1959,11
Comedy,Mystery,1963,3
Comedy,Romance,1963,27
Comedy,Thriller,1963,4
Mystery,Romance,1963,2
Mystery,Thriller,1963,6
Romance,Thriller,1963,1
Drama,Romance,1942,24
Crime,Mystery,1941,4
Crime,Thriller,1941,7
Mystery,Thriller,1941,10
Drama,Family,1964,5
Drama,Music,1964,3
Family,Music,1964,2
Family,Romance,1964,3
Music,Romance,1964,6
Comedy,Drama,1954,15
Comedy,Romance,1954,14
Drama,Romance,1954,31
Comedy,Romance,1953,13
Comedy,Drama,1939,16
Comedy,Family,1939,1
Drama,Family,1939,2
Comedy,Music,1944,10
Comedy,Romance,1944,13
Music,Romance,1944,5
Adventure,Family,1939,3
Adventure,Fantasy,1939,2
Family,Fantasy,1939,1
Drama,Romance,1939,31
Drama,War,1939,6
Romance,War,1939,3
Comedy,Drama,1982,35
Drama,Mystery,1941,7
Adventure,Mystery,1968,1
Adventure,Science_Fiction,1968,6
Mystery,Science_Fiction,1968,3
Adventure,Romance,1947,5
Drama,Mystery,1940,7
Mystery,Thriller,1940,9
Mystery,War,1940,1
Thriller,War,1940,2
Drama,Romance,1946,21
Drama,Thriller,1946,19
Romance,Thriller,1946,5
Drama,Mystery,1945,6
Drama,Thriller,1945,11
Mystery,Thriller,1945,12
Drama,Romance,1957,28
Crime,Drama,1955,27
Crime,Mystery,1955,5
Crime,Romance,1955,4
Crime,Thriller,1955,11
Drama,Mystery,1955,6
Drama,Romance,1955,34
Drama,Thriller,1955,15
Mystery,Romance,1955,2
Mystery,Thriller,1955,8
Romance,Thriller,1955,2
Comedy,Drama,1950,5
Comedy,Family,1950,4
Comedy,Romance,1950,12
Drama,Family,1950,3
Drama,Romance,1950,19
Family,Romance,1950,2
Comedy,Music,1953,7
Comedy,Romance,1939,13
Comedy,Drama,1957,7
Comedy,Music,1958,4
Comedy,Romance,1958,12
Music,Romance,1958,3
Action,Adventure,1938,3
Action,Romance,1938,3
Adventure,Romance,1938,4
Action,Adventure,1940,6
Action,Drama,1940,7
Action,Romance,1940,4
Action,Western,1940,5
Adventure,Drama,1940,5
Adventure,Romance,1940,5
Adventure,Western,1940,3
Drama,Romance,1940,25
Drama,Western,1940,5
Romance,Western,1940,5
Fantasy,Mystery,1947,1
Fantasy,Romance,1947,3
Mystery,Romance,1947,2
Adventure,Drama,1937,10
Adventure,Fantasy,1937,2
Adventure,Mystery,1937,3
Drama,Fantasy,1937,2
Drama,Mystery,1937,8
Fantasy,Mystery,1937,1
Comedy,Music,1935,6
Comedy,Romance,1935,24
Music,Romance,1935,4
Comedy,War,1942,2
Comedy,Romance,1936,18
Action,Drama,1956,17
Action,Western,1956,10
Drama,Western,1956,5
Comedy,Crime,1934,5
Comedy,Mystery,1934,2
Crime,Mystery,1934,4
Comedy,Drama,1940,19
Adventure,Comedy,1956,3
Adventure,Family,1956,6
Adventure,Fantasy,1956,4
Adventure,Romance,1956,6
Comedy,Family,1956,4
Comedy,Fantasy,1956,1
Comedy,Romance,1956,15
Family,Fantasy,1956,5
Family,Romance,1956,1
Fantasy,Romance,1956,2
Drama,Family,1946,3
Drama,Fantasy,1946,3
Family,Fantasy,1946,1
Comedy,Romance,1938,22
Drama,Romance,1941,22
Comedy,Mystery,1943,2
Comedy,Romance,1943,22
Comedy,Thriller,1943,1
Mystery,Romance,1943,2
Mystery,Thriller,1943,9
Comedy,Fantasy,1946,2
Comedy,Romance,1946,7
Fantasy,Romance,1946,3
Drama,Family,1936,2
Crime,Drama,1939,13
Crime,Mystery,1939,8
Crime,Thriller,1939,6
Drama,Mystery,1939,4
Drama,Thriller,1939,6
Mystery,Thriller,1939,12
Comedy,Music,1949,7
Comedy,Romance,1949,12
Music,Romance,1949,7
Romance,Western,1947,3
Action,Mystery,1935,3
Action,Thriller,1935,1
Mystery,Thriller,1935,5
Drama,War,1945,12
Action,Adventure,1943,9
Action,Western,1943,4
Adventure,Western,1943,3
Adventure,Romance,1951,3
Adventure,War,1951,5
Romance,War,1951,1
Action,Adventure,1953,9
Action,Comedy,1953,2
Action,Crime,1953,4
Action,Drama,1953,11
Action,Romance,1953,5
Adventure,Comedy,1953,2
Adventure,Crime,1953,3
Adventure,Drama,1953,10
Adventure,Romance,1953,4
Comedy,Crime,1953,1
Comedy,Drama,1953,12
Crime,Drama,1953,13
Crime,Romance,1953,3
Drama,Romance,1953,26
Drama,Romance,1958,24
Comedy,Drama,1941,13
Comedy,Romance,1941,34
Action,Drama,1938,5
Action,Mystery,1938,1
Drama,Mystery,1938,6
Drama,Romance,1938,24
Mystery,Romance,1938,2
Drama,Romance,1932,22
Drama,War,1932,4
Romance,War,1932,2
Music,Mystery,1936,1
Action,Foreign,1985,5
Documentary,Family,1995,1
Drama,Romance,1997,75
Adventure,Crime,1996,2
Comedy,Family,1975,7
Action,Adventure,1955,8
Action,Family,1955,2
Action,Western,1955,11
Adventure,Family,1955,3
Adventure,Western,1955,3
Family,Western,1955,1
Adventure,Family,1975,7
Adventure,Fantasy,1975,5
Adventure,Science_Fiction,1975,5
Family,Fantasy,1975,4
Family,Science_Fiction,1975,2
Fantasy,Science_Fiction,1975,4
Comedy,Family,1968,11
Comedy,Fantasy,1968,7
Family,Fantasy,1968,6
Comedy,Family,1974,4
Comedy,Fantasy,1974,4
Comedy,Romance,1974,8
Family,Fantasy,1974,3
Family,Romance,1974,2
Fantasy,Romance,1974,1
Adventure,Drama,1957,12
Adventure,Western,1957,2
Drama,Western,1957,5
Comedy,Family,1961,8
